periodo,ecommerce,marca,producto,precio.antes,precio.actual,pulgadas,rango,descuento
2017,ripley,samsung,"SAMSUNG SMART TV UHD 55"" 55KU6400",4999,3499,55,"S/.2500 -
 S/.3500",-0.300060012
2017,ripley,samsung,SAMSUNG SMART TV SUHD 55‚<U+0080>ù CURVO 55KS7500,6999,5499,55,"> S/.4,500",-0.214316331
2017,ripley,lg,LG SMART TV UHD 55¬<U+0094> 55UH6500,4299,3199,55,"S/.2500 -
 S/.3500",-0.255873459
2017,ripley,samsung,"SAMSUNG SMART TV UHD 55"" 55KU6000",3999,2599,55,"S/.2500 -
 S/.3500",-0.350087522
2017,ripley,aoc,AOC SMART TV FHD 55'' LE55D5542,NA,1899,55,"S/.1500 -
 S/.2500",NA
2017,ripley,lg,"LG SMART TV FHD 55"" 55LH6000",3299,2499,55,"S/.1500 -
 S/.2500",-0.242497727
2017,ripley,lg,LG SMART TV SUPER UHD 55‚<U+0080>ù 3D 55UH8500,5999,5099,55,"> S/.4,500",-0.150025004
2017,ripley,samsung,SAMSUNG SMART TV SUHD 55'' CURVO 55KS9000,11999,8599,55,"> S/.4,500",-0.283356946
2017,ripley,sony,"SONY SMART TV FHD 55"" KDL-55W655D",2999,2499,55,"S/.1500 -
 S/.2500",-0.166722241
2017,ripley,lg,"LG TV SMART UHD 55"" 55UH6150",NA,3999,55,"S/.3500 -
 S/.4500",NA
2017,ripley,samsung,"SAMSUNG SMART TV FHD 55"" CURVO 55K6500",3799,2599,55,"S/.2500 -
 S/.3500",-0.315872598
2017,ripley,lg,"LG SMART TV UHD 55"" 55UH6230",3999,2999,55,"S/.2500 -
 S/.3500",-0.250062516
2017,ripley,samsung,"SAMSUNG SMART TV UHD 55"" CURVO 55KU6500",5999,3999,55,"S/.3500 -
 S/.4500",-0.333388898
2017,ripley,haier,HAIER TV FHD 55‚<U+0080>ù LE55B8000,1999,1499,55,"S/.500 -
 S/.1500",-0.250125063
2017,ripley,sony,SONY SMART TV FHD 55¬<U+0094> 3D KDL-55W805C,4499,3999,55,"S/.3500 -
 S/.4500",-0.111135808
2017,ripley,aoc,"AOC TV LED FULL HD 55"" LE55F1361",1999,1499,55,"S/.500 -
 S/.1500",-0.250125063
2017,ripley,haier,HAIER TV UHD 55'' 55E5500U,NA,2499,55,"S/.1500 -
 S/.2500",NA
2017,ripley,haier,HAIER SMART TV FHD 55'' LE55B8500DA,NA,1999,55,"S/.1500 -
 S/.2500",NA
2017,falabella,samsung,"led 55"" uhd curvo sm...",5999,3999,55,"S/.3500 -
 S/.4500",-0.333388898
2017,falabella,samsung,"led 55"" uhd curvo sm...",4599,2999,55,"S/.2500 -
 S/.3500",-0.347901718
2017,falabella,samsung,"led 55"" uhd smart tv...",4999,3299,55,"S/.2500 -
 S/.3500",-0.340068014
2017,falabella,lg,"led 55"" super uhd sm...",4999,2999,55,"S/.2500 -
 S/.3500",-0.400080016
