"ecommerce","marca","producto","precio.antes","precio.actual","pulgadas","rangos"
"linio","panasonic","panasonic - tv led smart full hd 32"" 32as600",1249,999,32,"S/.500 - S/.1500"
"linio","hisense","televisor hisense led 40"" 40k221w smart tv led full hd",1399,1099,40,"S/.500 - S/.1500"
"linio","lg","lg smart 4k ultra hd 49"" - 49ub8200",2600,2200,49,"S/.1500 - S/.2500"
"linio","lg","lg tv ultra hd 4k 49"" smart webos 2.0 49uf6400",1999,1889,49,"S/.1500 - S/.2500"
"linio","sony","sony tv led full hd 40'' - kdl-40r354b",1499,1189,40,"S/.500 - S/.1500"
"linio","samsung","televisiÛn samsung un32j4000 led hd 32""-negro",1299,809,32,"S/.500 - S/.1500"
"linio","samsung","samsung tv led smart ultra hd 50'' tizen un50ju6500 - negro",3299,2459,50,"S/.1500 - S/.2500"
"linio","aoc","aoc tv led hd 20'' - le20a1140",599,459,20,"< S/.500"
"linio","lg","lg - tv led hd 32'' 32lx330",999,799,32,"S/.500 - S/.1500"
"linio","samsung","samsung tv led smart curvo full hd 55''  tizen  un55j6500-plateado",4499,3449,55,"S/.2500 - S/.3500"
"linio","sony","sony - tv led smart 3d full hd con android 55"" 55w805c",4499,3599,55,"S/.3500 - S/.4500"
"linio","lg","lg tv led 4k ultra hd 43"" - 43uf6750",2499,1799,43,"S/.1500 - S/.2500"
"linio","lg","lg tv led cinema 3d smart full hd 47'' - 47lb6500",2899,1999,47,"S/.1500 - S/.2500"
"linio","lg","lg tv led smart hd 32"" - 32lf585b",1299,929,32,"S/.500 - S/.1500"
"linio","nex","nex tv led smart hd 32"" usb wifi incorporado - led3208smr",999,779,32,"S/.500 - S/.1500"
"linio","lg","lg - tv led webos smart ultra hd 49'' - 49uf7700",3799,2899,49,"S/.2500 - S/.3500"
"linio","sony","televisiÛn sony kdl-32r505c led 32""-negro",1399,1093,32,"S/.500 - S/.1500"
"linio","sony","sony - televisor led smart tv full hd 40'' kdl-40r555c - negro",1799,1599,40,"S/.1500 - S/.2500"
"linio","lg","tv led lg 42lf6450 webos 3d smart full hd - negro-plateado",1899,1619,42,"S/.1500 - S/.2500"
"linio","imaco","imaco - tv led hd 16"" - led16hd negro",449,329,16,"< S/.500"
"linio","samsung","samsung tv led smart ultra hd un65hu8500 4k 65"" - negro",14999,10050,65,"> S/.4,500"
"linio","samsung","samsung tv led 3d smart  full hd 48"" - un48h6400",2999,2089,48,"S/.1500 - S/.2500"
"linio","haier","haier tv led live green 24 le24b8000",699,499,24,"< S/.500"
"linio","lg","lg tv smart led full hd 43"" - 43lf6350",2099,1569,43,"S/.1500 - S/.2500"
"linio","samsung","samsung - tv led full hd 48'' 48j5000 - negro",2999,1549,48,"S/.1500 - S/.2500"
"linio","lg","televisor lg 42lf6500 smart 3d full hd. negro-plateado",1899,1599,42,"S/.1500 - S/.2500"
"linio","lg","televisor lg tv led hd 32""-plateado",969,839,32,"S/.500 - S/.1500"
"linio","lg","lg - tv led curvo webos 2.0 3d smart ultra hd 4k  55'' 55ug8700 - plateado",NA,8999,55,"> S/.4,500"
"linio","imaco","imaco - tv led hd 16"" - led16hd",NA,389,16,"< S/.500"
"linio","lg","tv lg  49uf6750 led ultra hd 4k ultra slim 49'' dual metal estilo elegante  - negro",NA,2699,49,"S/.2500 - S/.3500"
"linio","aoc","televisor aoc 42"" le42h354f led full hd - negro",1886,1500,42,"S/.500 - S/.1500"
"linio","lg","tv led lg 43lf5100 full hd negro",1499,1249,43,"S/.500 - S/.1500"
"linio","samsung","samsung - 55j6400 led 55"" smart tizen 3d - black",3599,3259,55,"S/.2500 - S/.3500"
"linio","lg","lg tv led hd 32'' - 32lf550b",1299,879,32,"S/.500 - S/.1500"
"linio","lg","lg tv led cinema 3d 4k smart ultra hd 55'' - 55ub8500",5999,4099,55,"S/.3500 - S/.4500"
"linio","samsung","samsung tv led smart ultra hd 50'' tizen un50ju6500 - negro",3999,2809,50,"S/.2500 - S/.3500"
"linio","samsung","samsung tv led smart ultra hd 55'' tizen un55ju6500-negro",4999,3999,55,"S/.3500 - S/.4500"
"linio","lg","lg game tv led full hd 49"" - 49lf5410",2299,1609,49,"S/.1500 - S/.2500"
"linio","sony","sony tv led full hd 40'' - kdl-40r354b",1499,1275,40,"S/.500 - S/.1500"
"linio","lg","lg - tv oled curvo smart 3d 55'' - 55ec9300",9999,7169,55,"> S/.4,500"
"linio","daewoo","daewoo - tv led 32"" l32r640ats - negro",899,599,32,"S/.500 - S/.1500"
"linio","lg","tv lg 32lf510 led hd de 32""-negro",999,859,32,"S/.500 - S/.1500"
"linio","lg","lg tv 3d smart led ultra hd 65"" - 65uf8500",NA,9999,65,"> S/.4,500"
"linio","lg","tv lg 55lf6500 led webos 3d smart tv full hd wifi dongle 55'' - negro",NA,3999,55,"S/.3500 - S/.4500"
"linio","lg","lg tv led full hd 43'' - 43lf5410",1649,1249,43,"S/.500 - S/.1500"
"linio","lg","lg - televisor led 32"" hd smart tv 32lf585b ""ì blanco",1399,1199,32,"S/.500 - S/.1500"
"linio","samsung","televisor samsung un40j5300 smart tv led full hd 40''-negro",1999,1345,40,"S/.500 - S/.1500"
"linio","sony","televisiÛn sony led full smart tv hd 48""- kdl48r555c",3899,1999,48,"S/.1500 - S/.2500"
"linio","panasonic","televisor panasonic tv led 50"" ultra hd 4k smart-negro",4049,2879,50,"S/.2500 - S/.3500"
"linio","samsung","samsung - smart tv un48j5500 led full hd 48'' - negro",2499,1779,48,"S/.1500 - S/.2500"
"linio","lg","lg tv slim ultra hd 3d webos 2.0 55'' 55uf8500 - plateado",4599,4100,55,"S/.3500 - S/.4500"
