categoria;subcategoria;url;paginas
Electrohogar;Herramientas eléctricas;http://simple.ripley.com.pe/electrohogar/herramientas-electricas/todo-herramientas?page=6;6
Muebles;Sofás y juegos de sala;http://simple.ripley.com.pe/muebles/sofas-y-juegos-de-sala/ver-todo-sofas-y-juegos-de-sala?page=8;8
Muebles;Seccionales;http://simple.ripley.com.pe/muebles/seccionales/ver-todo-seccionales?page=3;3
Muebles;Colecciones de sofás;http://simple.ripley.com.pe/muebles/colecciones-de-sofas/ver-todo-colecciones?page=3;3
Muebles;Sitiales y banquetas;http://simple.ripley.com.pe/muebles/sitiales-y-banquetas/ver-todo-sitiales-y-banquetas?page=4;4
Muebles;Reclinables y futones;http://simple.ripley.com.pe/muebles/reclinables-y-futones/ver-todo-reclinables-y-futones?page=2;2
Muebles;Mesas varias;http://simple.ripley.com.pe/muebles/mesas-varias/ver-todo-mesas-varias?page=2;2
Muebles;Comedor y bar;http://simple.ripley.com.pe/muebles/comedor-y-bar/ver-todo-comedor-y-bar?page=7;7
Muebles;Organización;http://simple.ripley.com.pe/muebles/organizacion/ver-todo-organizacion?page=4;4
Muebles;Muebles de dormitorio;http://simple.ripley.com.pe/muebles/muebles-de-dormitorio/ver-todo-muebles-de-dormitorio?page=4;4
Muebles;Terraza;http://simple.ripley.com.pe/muebles/terraza/ver-todo-terraza?page=2;3
Muebles;Marcas;http://simple.ripley.com.pe/muebles/marcas?page=14;14
Muebles;Outlet;http://simple.ripley.com.pe/muebles/outlet/ver-todo-outlet?page=2;3
Dormitorio;Marcas;http://simple.ripley.com.pe/dormitorio/marcas?page=44;44
Dormitorio;Colchones;http://simple.ripley.com.pe/dormitorio/colchones/ver-todo-colchones?page=13;13
Dormitorio;Cama con box tarima;http://simple.ripley.com.pe/dormitorio/cama-con-box-tarima/ver-todo-cama-con-box-tarima?page=17;17
Dormitorio;Cama con box spring;http://simple.ripley.com.pe/dormitorio/cama-con-box-spring/ver-todo-cama-con-box-spring?page=2;2
Dormitorio;Cama europea;http://simple.ripley.com.pe/dormitorio/cama-europea/ver-todo-cama-europea;1
Dormitorio;Juegos de dormitorio;http://simple.ripley.com.pe/dormitorio/juegos-de-dormitorio/ver-todo-juegos-de-dormitorio?page=9;9
Dormitorio;Camas funcionales;http://simple.ripley.com.pe/dormitorio/camas-funcionales/ver-todo-camas-funcionales;1
Dormitorio;Muebles de dormitorio;http://simple.ripley.com.pe/dormitorio/muebles-de-dormitorio/ver-todo-muebles-de-dormitorio?page=4;4
Dormitorio;Almohadas y edredones;http://simple.ripley.com.pe/dormitorio/almohadas-y-edredones-blancos/ver-todo-almohadas-y-edredones?page=3;3
Dormitorio;Ropa de cama;http://simple.ripley.com.pe/dormitorio/ropa-de-cama/ver-todo-ropa-de-cama?page=16;16
Dormitorio;Infantil;http://simple.ripley.com.pe/dormitorio/infantil/ver-todo-dormitorio-infantil;1
Dormitorio;Toallas y accesorios;http://simple.ripley.com.pe/dormitorio/toallas-y-accesorios/ver-todo-toallas-y-accesorios?page=3;3
Belleza y accesorios;Relojes;http://simple.ripley.com.pe/belleza-y-accesorios/relojes/todo-los-relojes?page=38;38
Belleza y accesorios;Carteras y accesorios;http://simple.ripley.com.pe/belleza-y-accesorios/carteras-y-accesorios/todo-accesorios?page=23;23
Belleza y accesorios;Bijouterie y joyeria;http://simple.ripley.com.pe/belleza-y-accesorios/bijouterie-y-joyeria/todo-bijouterie-y-joyeria?page=4;4
Belleza y accesorios;Perfumes;http://simple.ripley.com.pe/belleza-y-accesorios/perfumeria/todos-los-perfumes?page=25;25
Belleza y accesorios;Maquillaje;http://simple.ripley.com.pe/belleza-y-accesorios/maquillaje/todo-maquillaje?page=24;26
Belleza y accesorios;Cuidado de la piel;http://simple.ripley.com.pe/belleza-y-accesorios/cuidado-de-la-piel/todo-cuidado-de-la-piel?page=8;8
Belleza y accesorios;Cuidado personal;http://simple.ripley.com.pe/belleza-y-accesorios/cuidado-personal?page=4;4
Deporte;Maquinas;http://simple.ripley.com.pe/deporte/maquinas/todo-maquinas?page=4;4
Deporte;Bicicletas;http://simple.ripley.com.pe/deporte/bicicletas/todo-bicicletas?page=18;18
Deporte;Camping;http://simple.ripley.com.pe/deporte/camping-y-tiempo-libre/todo-camping-y-tiempo-libre?page=5;5
Deporte;Otros deportes;http://simple.ripley.com.pe/deporte/otros-deportes/todo-otros-deportes?page=5;5
Deporte;Zapatillas Deportivas;http://simple.ripley.com.pe/deporte/zapatillas-deportivas/todo-zapatillas?page=11;11
Deporte;Ropa deportiva mujer;http://simple.ripley.com.pe/deporte/ropa-deportiva-mujer/todo-ropa-deportiva-mujer;1
Deporte;Ropa deportiva hombre;http://simple.ripley.com.pe/deporte/ropa-deportiva-hombre/todo-ropa-deportiva-hombre;1
Deporte;Ropa deportiva niños;http://simple.ripley.com.pe/deporte/ropa-deportiva-infantil/ninos;1
TV y video;Televisores;http://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?page=5;5
TV y video;Video y accesorios;http://simple.ripley.com.pe/tv-y-video/video-y-accesorios/ver-todo-reproductores?page=2;2
TV y video;Audio;http://simple.ripley.com.pe/tv-y-video/audio/ver-todo-audio;1
TV y video;Equipo de sonido;http://simple.ripley.com.pe/tv-y-video/equipo-de-sonido/ver-todo-equipo-de-sonido?page=2;2
TV y video;Car audio;http://simple.ripley.com.pe/tv-y-video/car-audio/ver-todo-car-audio?page=2;2
Infantil;Juguetería;http://simple.ripley.com.pe/infantil/jugueteria/todo-juguetes?page=43;43
Infantil;Paseo y viajes;http://simple.ripley.com.pe/infantil/paseo-y-viajes/todo-paseo-y-viajes?page=13;13
Infantil;Mundo bebé;http://simple.ripley.com.pe/infantil/mundo-bebe/todo-mundo-bebe?page=11;11
Infantil;Maternidad;http://simple.ripley.com.pe/infantil/maternidad/todo-maternidad?page=8;8
Infantil;Actividad;http://simple.ripley.com.pe/infantil/actividad/todo-actividad?page=5;5
