"fecha","categoria","ecommerce","producto","precio.antes","precio.actual"
"2017-08-29","computo","ripley","
                      DELL LAPTOP INSPIRON 15-5000 15.6'' CORE i5 1TB 8GB - PLATEADO
                    ",NA,"Internet: S/ 2,799"
"2017-08-29","computo","ripley","
                      ASUS LAPTOP X541UA-GO890T 15.6'' CORE I3 1TB 8GB - CHOCOLATE
                    ",NA,"Internet: S/ 1,699"
"2017-08-29","computo","ripley","
                      ASUS LAPTOP TP501UA-CJ104T 15.6'' CORE i3 500GB 4GB - GRIS
                    ",NA,"Internet: S/ 1,999"
"2017-08-29","computo","ripley","
                      HP LAPTOP SPECTRE 13-V101 13.3'' CORE i5 256GB 8GB - PLATA CENIZA
                    ","Normal: S/ 5,099","Internet: S/ 4,999"
"2017-08-29","computo","ripley","
                      MSI LAPTOP GT72VR 7RE DOMINATOR PRO 17.3"" CORE I7 1TB 16GB - NEGRO
                    ",NA,"Internet: S/ 9,499"
"2017-08-29","computo","ripley","
                      MSI LAPTOP GS63 7RE STEALTH PRO 15.6"" CORE I7 1TB 16GB - NEGRO
                    ",NA,"Internet: S/ 6,999"
"2017-08-29","computo","ripley","
                      MSI LAPTOP GE62VR 7RF APACHE PRO CAMO 15.6"" CORE I7 1TB 16GB - MULTICOLOR
                   ‚<U+0080>¶",NA,"Internet: S/ 7,399"
"2017-08-29","computo","ripley","
                      MSI LAPTOP GP62 7REX LEOPARD PRO 15.6"" CORE I7 1TB 16GB - NEGRO
                    ",NA,"Internet: S/ 5,499"
"2017-08-29","computo","ripley","
                      MSI LAPTOP GL62 7RDX  15.6"" CORE I7 1TB 8GB - NEGRO
                    ",NA,"Internet: S/ 4,499"
"2017-08-29","computo","ripley","
                      MSI LAPTOP GL72 7RDX  17.3"" CORE I7 1TB 8GB - NEGRO
                    ",NA,"Internet: S/ 4,699"
"2017-08-29","computo","ripley","
                      HP LAPTOP 15-CD005LA 15.6"" AMD A12 1TB 12GB - AZUL
                    ",NA,"Internet: S/ 2,399"
"2017-08-29","computo","ripley","
                      ADVANCE LAPTOP NV9901 14'' INTEL CHERRY TRAIL X5-Z8350 32GB 4GB
                    ",NA,"Internet: S/ 999"
"2017-08-29","computo","ripley","
                      DELL LAPTOP INSPIRON 14 3000 14"" CORE I5 500 GB 4 GB - NEGRO
                    ",NA,"Internet: S/ 2,199"
"2017-08-29","computo","ripley","
                      LENOVO LAPTOP G50-70 15.6"" CORE I3 1TB 4GB PLATEADO
                    ","Normal: S/ 1,999","Internet: S/ 899"
"2017-08-29","computo","ripley","
                      ASUS LAPTOP UX501VW-FI058T 15.6'' CORE i7 1TB 8GB - GRIS
                    ",NA,"Internet: S/ 4,799"
"2017-08-29","computo","ripley","
                      ASUS LAPTOP T303UA-GN047T 12.5"" CORE I7 8GB 512GB - GRIS
                    ",NA,"Internet: S/ 5,499"
"2017-08-29","computo","ripley","
                      ASUS LAPTOP GL553VE-DM028T 15.6'' CORE I7 1TB 12GB - NEGRO
                    ",NA,"Internet: S/ 4,699"
"2017-08-29","computo","ripley","
                      ASUS LAPTOP X541UJ-GO060T 15.6'' CORE i5 500GB 4GB - PLATEADO
                    ",NA,"Internet: S/ 1,999"
"2017-08-29","computo","ripley","
                      ASUS LAPTOP UX360UAK-C4197T 13.3'' CORE i5 256GB 8GB - GRIS
                    ",NA,"Internet: S/ 3,699"
"2017-08-29","computo","ripley","
                      ASUS LAPTOP UX310UQ-GL246T 13.3'' CORE i7 1TB 8GB - GRIS
                    ",NA,"Internet: S/ 3,499"
"2017-08-29","computo","ripley","
                      LENOVO NOTEBOOK YOGA 900 13.3"" CORE I5 256GB 4GB - DORADO
                    ","Normal: S/ 4,599","Internet: S/ 3,999"
"2017-08-29","computo","ripley","
                      LAPTOP IDEAPAD 510S 15.6'' CORE i5 1TB 12GB - BLANCO
                    ","Normal: S/ 3,299","Internet: S/ 2,999"
"2017-08-29","computo","ripley","
                      HP LAPTOP 17-AN001LA 17.3"" CORE I7 1TB 12GB - NEGRO
                    ",NA,"Internet: S/ 4,999"
"2017-08-29","computo","ripley","
                      HP NOTEBOOK 14-AC132LA 1TB - ROJO INTEL CORE I7
                    ","Normal: S/ 2,699","Internet: S/ 2,399"
"2017-08-29","computo","ripley","
                      HUAWEI MATEBOOK 12'' 128GB 4GB - GRIS
                    ","Normal: S/ 3,699","Internet: S/ 2,399"
"2017-08-29","computo","ripley","
                      MSI LAPTOP GP72 7REX LEOPARD PRO 17.3"" CORE I7 1TB 16GB - NEGRO
                    ",NA,"Internet: S/ 5,599"
"2017-08-29","computo","ripley","
                      HP LAPTOP 15-CE001LA 15.6"" CORE I5 1TB 8GB - NEGRO
                    ",NA,"Internet: S/ 3,999"
"2017-08-29","computo","ripley","
                      HP LAPTOP 15-CC507LA 15.6"" CORE I7 1TB 16GB - DORADO
                    ",NA,"Internet: S/ 3,899"
"2017-08-29","computo","ripley","
                      HP LAPTOP 15-BS012 15.6"" INTEL CORE I3 1TB 8GB - PLATEADO
                    ",NA,"Internet: S/ 1,899"
"2017-08-29","computo","ripley","
                      LAPTOP OMEN 15-AX201LA 15.6"" CORE i5 1TB 8GB - NEGRO
                    ","Normal: S/ 3,699","Internet: S/ 3,299"
"2017-08-29","computo","ripley","
                      HP LAPTOP 14-BA003LA 14"" INTEL CORE I5 500GB 6GB - PLATEADO
                    ",NA,"Internet: S/ 2,599"
"2017-08-29","computo","ripley","
                      HP LAPTOP 13-AC003LA 13.3"" INTEL CORE I7 256GB 8GB - PLOMO
                    ",NA,"Internet: S/ 5,299"
"2017-08-29","computo","ripley","
                      LENOVO LAPTOP IDEAPAD 110 15.6'' AMD A8 1TB 8GB - NEGRO
                    ","Normal: S/ 1,599","Internet: S/ 1,399"
"2017-08-29","computo","ripley","
                      HP LAPTOP 15-BS021LA 15.6'' INTEL CORE I7 1TB 12GB
                    ",NA,"Internet: S/ 3,099"
"2017-08-29","computo","ripley","
                      HP LAPTOP SPECTRE 13-V101 13.3'' CORE i5 256GB 8GB - PLATA CENIZA
                    ","Normal: S/ 5,099","Internet: S/ 4,999"
"2017-08-29","computo","ripley","
                      HP LAPTOP 15-CC502LA 15.6"" CORE I5 1TB 12GB - PLOMO
                    ",NA,"Internet: S/ 2,699"
