"fecha","subcategoria","ecommerce","marca","producto","precio.antes","precio.actual"
"2017-09-13","Accesorios-Hombre","Falabella","Casio","Reloj GA-110NM-9A pa...","S/ 939","S/ 469.50"
"2017-09-13","Accesorios-Hombre","Falabella","Aerostar","Reloj Mujer Análogo ...","S/ 309","S/ 247.20"
"2017-09-13","Accesorios-Hombre","Falabella","Aerostar","Reloj Unisex Digital...","S/ 119","S/ 89"
"2017-09-13","Accesorios-Hombre","Falabella","Puma","Reloj Hombre PU10346...","S/ 699","S/ 559.20"
"2017-09-13","Accesorios-Hombre","Falabella","Tommy Hilfiger","Reloj  para Hombre","S/ 799","S/ 399.50"
"2017-09-13","Accesorios-Hombre","Falabella","Puma","Reloj Unisex PU91116...","S/ 409","S/ 245.40"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Análogo","S/ 1,199","S/ 589"
"2017-09-13","Accesorios-Hombre","Falabella","Timberland","Reloj Análogo H Cue ...",NA,"S/ 839"
"2017-09-13","Accesorios-Hombre","Falabella","Swatch","Reloj Mujer Acero In...","S/ 459","S/ 413.10"
"2017-09-13","Accesorios-Hombre","Falabella","Montblanc","Correa Reversible de...",NA,"S/ 1,414"
"2017-09-13","Accesorios-Hombre","Falabella","Puma","Reloj Resina Hombre","S/ 479","S/ 359.25"
"2017-09-13","Accesorios-Hombre","Falabella","Timberland","Reloj Análogo H Cue ...","S/ 839","S/ 755.10"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Hombre Silicon...","S/ 1,109","S/ 799"
"2017-09-13","Accesorios-Hombre","Falabella","Wenger","Reloj Hombre Acero P...",NA,"S/ 1,019"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Mujer Acero Do...","S/ 1,219","S/ 636.30"
"2017-09-13","Accesorios-Hombre","Falabella","Swatch","Reloj Mujer Silicona...","S/ 479","S/ 431.10"
"2017-09-13","Accesorios-Hombre","Falabella","Puma","Reloj Mujer PU103211...","S/ 449","S/ 359.20"
"2017-09-13","Accesorios-Hombre","Falabella","Toy Watch","Reloj Hombre MO06OR ...","S/ 760","S/ 418"
"2017-09-13","Accesorios-Hombre","Falabella","Montblanc","Correa Reversible de...",NA,"S/ 1,047"
"2017-09-13","Accesorios-Hombre","Falabella","Puma","Reloj Resina Hombre","S/ 479","S/ 359.25"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Multifun...","S/ 1,199","S/ 749"
"2017-09-13","Accesorios-Hombre","Falabella","Casio","Reloj Mujer LTP TW10...","S/ 459","S/ 275.40"
"2017-09-13","Accesorios-Hombre","Falabella","Timberland","Reloj Analógico Camp...","S/ 999","S/ 899.10"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Hombre Silicon...","S/ 1,109","S/ 799"
"2017-09-13","Accesorios-Hombre","Falabella","Ferrari","Reloj Hombre Analógi...","S/ 1,478","S/ 1,256.30"
"2017-09-13","Accesorios-Hombre","Falabella","Cat","Reloj Hombre Silicon...","S/ 579","S/ 359"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Analógic...",NA,"S/ 399"
"2017-09-13","Accesorios-Hombre","Falabella","Wenger","Reloj Mujer Acero Pl...",NA,"S/ 679"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Hombre Guess W...","S/ 1,099","S/ 552.74"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Mujer Acero Or...","S/ 1,219","S/ 636.30"
"2017-09-13","Accesorios-Hombre","Falabella","Swatch","Reloj Mujer Acero In...","S/ 669","S/ 602.10"
"2017-09-13","Accesorios-Hombre","Falabella","Puma","Reloj Hombre PU10364...","S/ 739","S/ 517.30"
"2017-09-13","Accesorios-Hombre","Falabella","Toy Watch","Reloj Hombre MO09LB ...","S/ 990","S/ 544.50"
"2017-09-13","Accesorios-Hombre","Falabella","Wenger","Reloj Hombre Acero P...",NA,"S/ 1,159"
"2017-09-13","Accesorios-Hombre","Falabella","Montblanc","Bolígrafo Fino Cuerp...",NA,"S/ 1,576"
"2017-09-13","Accesorios-Hombre","Falabella","Puma","Reloj Resina Hombre","S/ 479","S/ 359.25"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Hombre Cronógr...","S/ 1,199","S/ 699"
"2017-09-13","Accesorios-Hombre","Falabella","Wenger","Reloj Hombre Cuero N...",NA,"S/ 879"
"2017-09-13","Accesorios-Hombre","Falabella","Billabong","Mochila Riot Pack Fa...","S/ 219","S/ 131.40"
"2017-09-13","Accesorios-Hombre","Falabella","Timberland","Reloj Analógico Bell...","S/ 949","S/ 854.10"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Acero Do...","S/ 799","S/ 559.30"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Mochila para Caballe...","S/ 1,379","S/ 1,099"
"2017-09-13","Accesorios-Hombre","Falabella","Timberland","Reloj Analógico Bell...","S/ 949","S/ 854.10"
"2017-09-13","Accesorios-Hombre","Falabella","Swatch","Reloj Mujer de Cuarz...","S/ 699","S/ 629.10"
"2017-09-13","Accesorios-Hombre","Falabella","Fossil","Reloj Hombre Fossil ...","S/ 979","S/ 647.20"
"2017-09-13","Accesorios-Hombre","Falabella","Ferrari","Reloj Hombre Analógi...","S/ 1,478","S/ 1,256.30"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Analógic...","S/ 599","S/ 299"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj de Acero para ...","S/ 1,099","S/ 714.35"
"2017-09-13","Accesorios-Hombre","Falabella","Wenger","Reloj Mujer Resina N...",NA,"S/ 679"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Hombre Guess W...","S/ 1,099","S/ 552.74"
"2017-09-13","Accesorios-Hombre","Falabella","Casio","Reloj Resina Mujer B...","S/ 659","S/ 395.40"
"2017-09-13","Accesorios-Hombre","Falabella","Casio","Reloj Hombre G-Shock...","S/ 639","S/ 383.40"
"2017-09-13","Accesorios-Hombre","Falabella","Guess","Reloj Mujer Análogo ...","S/ 1,199","S/ 729"
"2017-09-13","Accesorios-Hombre","Falabella","Michael Kors","Reloj Hombre Cuero N...","S/ 1,359","S/ 815.40"
"2017-09-13","Accesorios-Hombre","Falabella","Swatch","Reloj Unisex SVCK408...","S/ 719","S/ 647.10"
"2017-09-13","Accesorios-Hombre","Falabella","Victorinox","Navaja Spartan Caral",NA,"S/ 99"
"2017-09-13","Accesorios-Hombre","Falabella","Swatch","Reloj Hombre de Cuar...","S/ 759","S/ 531.30"
"2017-09-13","Accesorios-Hombre","Falabella","Swatch","Reloj Hombre Analógi...","S/ 549","S/ 399"
"2017-09-13","Accesorios-Hombre","Falabella","Swatch","Reloj Mujer Acero In...","S/ 549","S/ 494.10"
