"fecha","categoria","ecommerce","marca","producto","precio.antes","precio.actual","recojo.tienda","solo.online"
"2017-08-23","televisores","falabella","Skullcandy","/falabella-pe/product/15108139/Mochila-SCPR107-Purpura?navAction=push",NA,"S/ 199.90",NA,NA
"2017-08-23","televisores","falabella","Roccat","/falabella-pe/product/15817146/Teclado-Ryos-MK-Pro-Azul?navAction=push",NA,"S/ 549.90",NA,NA
"2017-08-23","televisores","falabella","Alcatel","/falabella-pe/product/15177857/Tablet-Pixi3-7''-4G-LTE-Negro?navAction=push",NA,"S/ 399","4",NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/15773830/Notebook-13,3-Intel-Core-i5-8-GB-256-GB-SDD-Gris?navAction=push",NA,"S/ 4,999","4",NA
"2017-08-23","televisores","falabella","Dell","/falabella-pe/product/15802240/Notebook-Inspiron-7000-Intel-Core-i7-8GB-1TB-Gris?navAction=push",NA,"S/ 4,099","4",NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/15258720/Notebook-i5-7200U-8GB-256GB-13.3''?navAction=push",NA,"S/ 4,999","4",NA
"2017-08-23","televisores","falabella","Sakar","/falabella-pe/product/15208097/Funda-Case-Universal-Princesa-7''?navAction=push",NA,"S/ 29.90",NA,NA
"2017-08-23","televisores","falabella","Neffos","/falabella-pe/product/15757982/Carcasa-Neffos-C5?navAction=push",NA,"S/ 17.90",NA,NA
"2017-08-23","televisores","falabella","Epson","/falabella-pe/product/11739819/Cartucho-de-Tinta-T073420-Amarilla?navAction=push",NA,"S/ 34.90","4",NA
"2017-08-23","televisores","falabella","Western Digital","/falabella-pe/product/15146186/Case-My-Passport-Negro?navAction=push",NA,"S/ 49.90","4",NA
"2017-08-23","televisores","falabella","Leotec","/falabella-pe/product/15808269/TV-Box-Android-PC-4K-Quad-Core-1-GB-8-GB?navAction=push",NA,"S/ 225",NA,NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/15129435/Tinta-122-CH562HL-Tricolor?navAction=push",NA,"S/ 61","4",NA
"2017-08-23","televisores","falabella","Skullcandy","/falabella-pe/product/15108140/Mochila-Skullcandy-SKDY1163-BLCK4-Negro?navAction=push",NA,"S/ 169.90",NA,NA
"2017-08-23","televisores","falabella","Roccat","/falabella-pe/product/15817147/Teclado-Ryos-MK-Pro-Negro?navAction=push",NA,"S/ 549.90",NA,NA
"2017-08-23","televisores","falabella","Lenovo","/falabella-pe/product/15156869/Notebook-14-Ideapad-510S-Intel-Core-i5-4GB-1-TB-Blanco?navAction=push","S/ 2,399","S/ 1,999","4",NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/15773832/Notebook-13,3-Intel-Core-i7-Full-HD-8-GB-256-GB-SDD-Gris?navAction=push",NA,"S/ 5,399","4",NA
"2017-08-23","televisores","falabella","Sakar","/falabella-pe/product/15208098/Spiderman-7-Universal-Portafolio-Case?navAction=push",NA,"S/ 29.90",NA,NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/15773826/Notebook-15,6-Full-HD-Intel-Core-i7-1-TB-16-GB-128-GB-SD?navAction=push",NA,"S/ 3,899","4",NA
"2017-08-23","televisores","falabella","Philips","/falabella-pe/product/15685126/Soporte-Celular-para-carro-con-chupon?navAction=push","S/ 49","S/ 29","4",NA
"2017-08-23","televisores","falabella","Fiddler","/falabella-pe/product/15208053/Mochila-para-Laptop-15-Azul?navAction=push",NA,"S/ 89.90",NA,NA
"2017-08-23","televisores","falabella","Ddesign","/falabella-pe/product/880757697/Mochila-para-Notebook-15,6-16600-Azul?navAction=push",NA,"S/ 79","4",NA
"2017-08-23","televisores","falabella","Butrich","/falabella-pe/product/15161205/Cartera-Fucsia-+-Dorado?navAction=push",NA,"S/ 799",NA,NA
"2017-08-23","televisores","falabella","Asus","/falabella-pe/product/15194969/Notebook-Ci7-6500U-8G-512G-12.5''-W10-Gris?navAction=push",NA,"S/ 5,499","4",NA
"2017-08-23","televisores","falabella","Neffos","/falabella-pe/product/15757983/Carcasa-Neffos-C5-Ma?navAction=push",NA,"S/ 19.90",NA,NA
"2017-08-23","televisores","falabella","Epson","/falabella-pe/product/11739821/Cartucho-de-Tinta-T117120-Negra?navAction=push",NA,"S/ 24.90","4",NA
"2017-08-23","televisores","falabella","Ddesign","/falabella-pe/product/880296712/Cable-HDMI-Matel-3-Metros?navAction=push",NA,"S/ 29.90","4",NA
"2017-08-23","televisores","falabella","Skill","/falabella-pe/product/14920022/Kit-de-Limpieza-para-Pantalla-LCD?navAction=push",NA,"S/ 14.90","4",NA
"2017-08-23","televisores","falabella","Epson","/falabella-pe/product/13614184/Cartucho-de-Tinta-T196120-Negro?navAction=push",NA,"S/ 29.90","4",NA
"2017-08-23","televisores","falabella","Leotec","/falabella-pe/product/15808271/TV-Box-Android-PC-4K-Octa-Core-2-GB-16-GB?navAction=push",NA,"S/ 349",NA,NA
"2017-08-23","televisores","falabella","Skullcandy","/falabella-pe/product/15108141/Mochila-SCPR107-Amarrillo?navAction=push",NA,"S/ 199.90",NA,NA
"2017-08-23","televisores","falabella","Roccat","/falabella-pe/product/15817148/Teclado-Ryos-MK-Pro-Marron?navAction=push",NA,"S/ 549.90",NA,NA
"2017-08-23","televisores","falabella","Lenovo","/falabella-pe/product/15156871/Notebook-15,6-Ideapad-510-12-GB-1-TB-Blanco?navAction=push","S/ 3,499","S/ 2,999","4",NA
"2017-08-23","televisores","falabella","Microsoft","/falabella-pe/product/15724428/Programa-Office-365-Personal-32-64-bits?navAction=push","S/ 189","S/ 179",NA,NA
"2017-08-23","televisores","falabella","TP-Link","/falabella-pe/product/15810152/Switch-de-escritorio-de-5-puertos-10-100?navAction=push",NA,"S/ 44",NA,NA
"2017-08-23","televisores","falabella","Dell","/falabella-pe/product/15773812/Notebook-29XY7-Intel-Core-i5-Negro?navAction=push","S/ 2,399","S/ 2,099","4",NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/15773835/All-in-One-23,8-AMD-A6-4-GB-1-TB-Negro?navAction=push",NA,"S/ 1,799","4",NA
"2017-08-23","televisores","falabella","Asus","/falabella-pe/product/15771587/Notebook-13,3-Intel-Core-i3-Ultra-Slim-4-GB-1-TB-Full-HD?navAction=push","S/ 1,999","S/ 1,699","4",NA
"2017-08-23","televisores","falabella","Macrotel","/falabella-pe/product/15208064/Cargador-+-2-Pilas-Aaa-100?navAction=push",NA,"S/ 19.90",NA,NA
"2017-08-23","televisores","falabella","Sakar","/falabella-pe/product/15208101/Bolso-morral-Frozen-11''?navAction=push",NA,"S/ 49.90",NA,NA
"2017-08-23","televisores","falabella","Butrich","/falabella-pe/product/15161217/Skin-Corazon-y-Rayas-15.6p?navAction=push",NA,"S/ 79",NA,NA
"2017-08-23","televisores","falabella","Fiddler","/falabella-pe/product/14267428/Mouse-Inalambrico-FD-XM518N-Negro?navAction=push",NA,"S/ 29.90","4",NA
"2017-08-23","televisores","falabella","Samsung","/falabella-pe/product/15736751/Monitor-Plano-22-LS22F350-Full-HD?navAction=push",NA,"S/ 429",NA,NA
"2017-08-23","televisores","falabella","HP","/falabella-pe/product/15773827/Notebook-15,6-Full-HD-Intel-Core-i5-8-GB-1-TB?navAction=push",NA,"S/ 3,999","4",NA
"2017-08-23","televisores","falabella","Epson","/falabella-pe/product/11739816/Tinta-para-Impresora-T073120-Negro?navAction=push",NA,"S/ 34.90","4",NA
"2017-08-23","televisores","falabella","Wacom","/falabella-pe/product/15915995/Tablet-Digital-27-Cintiq-QHD-Creative-Pentouch?navAction=push",NA,"S/ 12,399",NA,NA
"2017-08-23","televisores","falabella","Leotec","/falabella-pe/product/15805958/Router-3G-Wifi-Micro-SD-Compartida?navAction=push",NA,"S/ 179",NA,NA
"2017-08-23","televisores","falabella","Dlink","/falabella-pe/product/14924801/Router-Ethernet-NWDLDIR905L?navAction=push",NA,"S/ 99","4",NA
"2017-08-23","televisores","falabella","Fiddler","/falabella-pe/product/15208054/Mochila-para-Laptop-15-Naranja?navAction=push",NA,"S/ 89.90",NA,NA
"2017-08-23","televisores","falabella","Microsoft","/falabella-pe/product/14014781/Mouse-Sculpt-Mobile-Windows-Rosado?navAction=push",NA,"S/ 109",NA,NA
"2017-08-23","televisores","falabella","Genius","/falabella-pe/product/14799970/Mouse-Retractil-Micro-Traveler-Rojo?navAction=push",NA,"S/ 32.90","4",NA
"2017-08-23","televisores","falabella","Ddesign","/falabella-pe/product/880757701/Mochila-para-Notebook-15,6-16117-Negro?navAction=push",NA,"S/ 99","4",NA
"2017-08-23","televisores","falabella","Epson","/falabella-pe/product/12154605/Tinta-T133320-Magenta?navAction=push",NA,"S/ 39.90","4",NA
"2017-08-23","televisores","falabella","Butrich","/falabella-pe/product/15161206/Skin-Bolas-13p?navAction=push",NA,"S/ 79",NA,NA
